opportunity,49
satisfied,49
window,49
After,48
Your,48
happened,48
hearing,48
meet,48
satisfaction,48
self,48
certain,47
drawing,47
handsome,47
invitation,47
meeting,47
pounds,47
sometimes,47
speaking,47
spite,47
true,47
bear,46
curiosity,46
exactly,46
late,46
remember,46
sake,46
spent,46
Rabbit,45
behind,45
comfortable,45
dinner,45
early,45
fancy,45
forward,45
pain,45
read,45
repeated,45
arrival,44
favour,44
five,44
getting,44
ma,44
proper,44
remained,44
seem,44
surprised,44
ve,44
answered,43
countenance,43
equal,43
lived,43
necessary,43
sitting,43
supposed,43
worse,43
Duchess,42
confidence,42
future,42
itself,42
law,42
meant,42
money,42
times,42
Musgroves,41
YOU,41
bad,41
delighted,41
distress,41
followed,41
lost,41
minute,41
none,41
probably,41
serious,41
truth,41
turn,41
turning,41
whatever,41
wishes,41
won,41
Dormouse,40
Now,40
convinced,40
cousin,40
respect,40
seems,40
sensible,40
ten,40
Here,39
appear,39
disposed,39
reached,39
second,39
walking,39
Hayter,38
Is,38
March,38
Not,38
One,38
Steele,38
degree,38
easily,38
easy,38
exceedingly,38
fixed,38
hoped,38
knowing,38
meaning,38
occasion,38
otherwise,38
plan,38
smile,38
temper,38
twenty,38
understanding,38
view,38
Lord,37
Place,37
Poor,37
circumstance,37
cold,37
daughters,37
effect,37
expect,37
misery,37
need,37
produced,37
resolution,37
sent,37
smallest,37
society,37
spoken,37
style,37
trying,37
waiting,37
wrong,37
Dashwoods,36
Margaret,36
With,36
allow,36
become,36
chance,36
cousins,36
finding,36
fond,36
greatest,36
honour,36
influence,36
match,36
quiet,36
regret,36
share,36
suffered,36
Such,35
danger,35
fact,35
fellow,35
generally,35
leaving,35
mentioned,35
sea,35
thoughts,35
understood,35
Had,34
On,34
Perhaps,34
Robert,34
Wallis,34
age,34
constant,34
declared,34
drew,34
eager,34
excellent,34
favourite,34
forced,34
friendship,34
mine,34
nobody,34
painful,34
scarcely,34
servant,34
staying,34
tea,34
tears,34
weeks,34
ago,33
bed,33
d,33
delight,33
desire,33
difference,33
enjoyment,33
event,33
fear,33
girls,33
health,33
imagine,33
interesting,33
letters,33
merely,33
nearly,33
pity,33
promise,33
sit,33
suffering,33
trouble,33
admiration,32
allowed,32
altogether,32
avoid,32
became,32
breakfast,32
bring,32
concern,32
consider,32
decided,32
eldest,32
garden,32
immediate,32
loved,32
morrow,32
observed,32
park,32
wait,32
work,32
writing,32
All,31
Come,31
HER,31
Hare,31
Nothing,31
Shepherd,31
agitation,31
anybody,31
arrived,31
assured,31
aware,31
beauty,31
especially,31
extremely,31
hastily,31
join,31
joined,31
latter,31
looks,31
melancholy,31
moments,31
suddenly,31
terms,31
women,31
written,31
yes,31
yesterday,31
Delaford,30
Did,30
Mouse,30
Steeles,30
caught,30
difficulties,30
difficulty,30
except,30
expectation,30
happen,30
highly,30
judgment,30
mistaken,30
opened,30
persuaded,30
prevent,30
required,30
strange,30
weather,30
Camden,29
However,29
Indeed,29
above,29
affair,29
along,29
arm,29
begin,29
besides,29
close,29
conviction,29
creature,29
declare,29
distance,29
eagerly,29
earnest,29
emotion,29
exertion,29
formed,29
indifference,29
joy,29
justice,29
pleasant,29
please,29
proof,29
resolved,29
secret,29
several,29
soul,29
spirit,29
stood,29
tenderness,29
unfortunate,29
warm,29
Dalrymple,28
Who,28
anxiety,28
attending,28
companion,28
disposition,28
gratitude,28
growing,28
hurried,28
inclination,28
income,28
instead,28
journey,28
led,28
liked,28
likewise,28
loss,28
music,28
pause,28
ran,28
remain,28
rich,28
six,28
thus,28
try,28
yours,28
youth,28
Caterpillar,27
Cleveland,27
Hall,27
SHE,27
astonishment,27
book,27
calling,27
capable,27
carried,27
connection,27
dance,27
delightful,27
disappointment,27
duty,27
eat,27
evil,27
fell,27
hopes,27
hundred,27
necessity,27
occurred,27
opinions,27
praise,27
recollection,27
reply,27
value,27
warmth,27
welcome,27
write,27
Cat,26
Devonshire,26
alarm,26
beautiful,26
begun,26
bringing,26
completely,26
consciousness,26
direction,26
due,26
elegance,26
exclaimed,26
finished,26
forget,26
hair,26
hard,26
hold,26
importance,26
important,26
lately,26
listen,26
listened,26
mention,26
observation,26
particulars,26
play,26
profession,26
relief,26
smiling,26
stairs,26
thirty,26
unable,26
unhappy,26
waited,26
wishing,26
White,25
affectionate,25
afford,25
also,25
attended,25
beg,25
broken,25
card,25
compassion,25
death,25
dreadful,25
ease,25
estate,25
everybody,25
hurry,25
indifferent,25
invited,25
miles,25
placed,25
pride,25
promised,25
purpose,25
returning,25
story,25
struck,25
By,24
Chapter,24
Charlotte,24
Crofts,24
Park,24
agreed,24
amiable,24
amusement,24
around,24
ashamed,24
cause,24
changed,24
civility,24
clear,24
curious,24
entrance,24
extraordinary,24
feet,24
form,24
history,24
horses,24
introduced,24
liberty,24
neighbourhood,24
nice,24
note,24
parties,24
perfect,24
proved,24
receive,24
says,24
seat,24
seven,24
simple,24
sudden,24
suffer,24
Ah,23
Frederick,23
Of,23
Though,23
address,23
attempt,23
boy,23
calm,23
cheerful,23
civil,23
composure,23
evident,23
hers,23
increased,23
information,23
intelligence,23
interrupted,23
knows,23
makes,23
news,23
offer,23
overcome,23
pleasing,23
property,23
rate,23
rooms,23
school,23
shut,23
size,23
sooner,23
stopped,23
twice,23
vain,23
Every,22
NOT,22
angry,22
anxiously,22
books,22
burst,22
cheerfulness,22
clock,22
confess,22
considerable,22
delay,22
dine,22
disappointed,22
excuse,22
expressed,22
expression,22
fair,22
fall,22
fancied,22
fire,22
grave,22
hint,22
jury,22
learn,22
marrying,22
period,22
piece,22
quitted,22
recovered,22
sigh,22
solicitude,22
spend,22
strength,22
tired,22
Have,21
calmness,21
charming,21
command,21
concerned,21
discourse,21
draw,21
during,21
escape,21
explain,21
forgotten,21
game,21
ideas,21
improved,21
inquiry,21
intimate,21
laughed,21
moved,21
nurse,21
pardon,21
pass,21
personal,21
relations,21
removed,21
safe,21
send,21
stand,21
superior,21
support,21
sweet,21
vanity,21
warmly,21
whenever,21
From,20
absence,20
acknowledge,20
acknowledged,20
assistance,20
astonished,20
attend,20
bit,20
claims,20
considering,20
contrary,20
court,20
deep,20
earnestly,20
eight,20
elegant,20
explanation,20
express,20
feared,20
fit,20
folly,20
fresh,20
fully,20
gained,20
ground,20
humour,20
informed,20
intended,20
intimacy,20
listening,20
matters,20
mutual,20
number,20
observe,20
parted,20
politeness,20
prevented,20
proud,20
quick,20
rain,20
reach,20
reflection,20
remaining,20
remark,20
removal,20
respectable,20
secure,20
sending,20
sentiments,20
speech,20
venture,20
village,20
wretched,20
Cottage,19
Don,19
God,19
Let,19
Middletons,19
Very,19
act,19
affliction,19
altered,19
choice,19
comparison,19
concert,19
confusion,19
conscience,19
consent,19
description,19
ended,19
esteem,19
following,19
free,19
glance,19
held,19
illness,19
instant,19
lives,19
mere,19
mistress,19
naturally,19
offended,19
opposition,19
persuasion,19
picture,19
possession,19
presence,19
private,19
propriety,19
prospect,19
public,19
raised,19
receiving,19
relation,19
service,19
severe,19
smiled,19
sound,19
suspicion,19
thoroughly,19
trust,19
violent,19
wrote,19
Allenham,18
Are,18
Good,18
Harvilles,18
House,18
Upon,18
While,18
admitted,18
affected,18
arms,18
assist,18
ceased,18
communication,18
consideration,18
consolation,18
couple,18
credit,18
cut,18
desirable,18
domestic,18
drawn,18
engage,18
enter,18
follow,18
foot,18
forgot,18
fortnight,18
furniture,18
greatly,18
grown,18
guess,18
heavy,18
judge,18
judged,18
light,18
lively,18
material,18
mistake,18
motive,18
o,18
paid,18
perceive,18
pressed,18
probable,18
putting,18
quietly,18
reasonable,18
recollect,18
reproach,18
rose,18
settle,18
spot,18
suspect,18
thrown,18
treated,18
trial,18
uncle,18
unwilling,18
utmost,18
watch,18
winter,18
An,17
Berkeley,17
Buildings,17
Certainly,17
Morton,17
These,17
actually,17
admire,17
alteration,17
attentions,17
baby,17
chair,17
comes,17
complete,17
comprehend,17
creatures,17
distant,17
employment,17
engagements,17
enjoy,17
established,17
forth,17
grateful,17
imagined,17
inconvenience,17
increase,17
lay,17
learnt,17
leisure,17
maid,17
merit,17
objection,17
pay,17
quit,17
readily,17
reading,17
related,17
remembrance,17
restored,17
selfish,17
setting,17
sir,17
sleep,17
stop,17
summer,17
supported,17
telling,17
visited,17
Bill,16
Can,16
Combe,16
Exeter,16
Harley,16
ME,16
ONE,16
VERY,16
Where,16
Yet,16
accept,16
advice,16
board,16
borne,16
claim,16
concluded,16
conscious,16
dared,16
deserved,16
died,16
doesn,16
dress,16
eagerness,16
employed,16
explained,16
fortitude,16
gay,16
gentlemen,16
grow,16
hearted,16
hill,16
language,16
laughing,16
marked,16
nearer,16
observing,16
odd,16
oh,16
order,16
paper,16
persuade,16
possibility,16
post,16
probability,16
running,16
shook,16
sick,16
sincere,16
smart,16
sorrow,16
spring,16
succeeded,16
sufficient,16
suspense,16
tender,16
tomorrow,16
truly,16
uncertain,16
uncomfortable,16
unnecessary,16
ventured,16
wanting,16
witness,16
Ay,15
Dear,15
England,15
Pray,15
Tell,15
Two,15
Will,15
Would,15
absolutely,15
across,15
admit,15
affections,15
agony,15
agree,15
apology,15
arranged,15
asking,15
attached,15
attempted,15
box,15
cards,15
continual,15
convince,15
deeply,15
depend,15
dignity,15
dislike,15
divided,15
dull,15
education,15
encouragement,15
encouraging,15
expense,15
figure,15
frequently,15
gentle,15
grief,15
grounds,15
habit,15
heads,15
humoured,15
ignorance,15
imagination,15
impatient,15
impression,15
improvement,15
imprudence,15
indulgence,15
inn,15
interested,15
laugh,15
line,15
mad,15
miserable,15
month,15
mouth,15
move,15
natured,15
noise,15
occupied,15
offence,15
offered,15
orders,15
passing,15
perceived,15
possibly,15
prepared,15
proceed,15
properly,15
puzzled,15
result,15
safely,15
sentence,15
seriously,15
servants,15
shewn,15
song,15
spare,15
spared,15
unpleasant,15
useful,15
views,15
watched,15
watching,15
whisper,15
white,15
wondered,15
wondering,15
Cobb,14
Could,14
DID,14
Dinah,14
Great,14
HE,14
MY,14
NOW,14
Was,14
abroad,14
accident,14
active,14
assurance,14
blessing,14
bright,14
cats,14
chose,14
clever,14
closed,14
collected,14
colour,14
cook,14
courage,14
dancing,14
dead,14
delicacy,14
described,14
didn,14
dining,14
distinguished,14
dropped,14
ear,14
enquiries,14
entering,14
evidently,14
excessively,14
fallen,14
fast,14
fears,14
features,14
fifty,14
forgiven,14
friendly,14
frightened,14
glass,14
gloves,14
goes,14
heartily,14
highest,14
hills,14
hints,14
hurt,14
laid,14
later,14
leaning,14
length,14
lodgings,14
lucky,14
merits,14
middle,14
mouse,14
