fancy,45
forward,45
nobody,45
pain,45
repeated,45
surprised,45
ve,45
arrival,44
favour,44
getting,44
money,44
mouse,44
proper,44
remained,44
seem,44
turn,44
worse,44
answered,43
countenance,43
equal,43
law,43
lived,43
necessary,43
none,43
sitting,43
supposed,43
bad,42
confidence,42
duchess,42
future,42
itself,42
meant,42
ten,42
times,42
truth,42
cousin,41
delighted,41
distress,41
followed,41
lost,41
minute,41
musgroves,41
probably,41
serious,41
turning,41
wishes,41
won,41
convinced,40
dormouse,40
knowing,40
respect,40
seems,40
sensible,40
white,40
appear,39
disposed,39
occasion,39
reached,39
second,39
twenty,39
walking,39
allow,38
cold,38
consider,38
d,38
degree,38
easily,38
easy,38
exceedingly,38
fixed,38
hall,38
hayter,38
hoped,38
lord,38
march,38
meaning,38
mine,38
misery,38
otherwise,38
plan,38
smile,38
steele,38
temper,38
understanding,38
view,38
waiting,38
cat,37
circumstance,37
daughters,37
effect,37
expect,37
need,37
produced,37
resolution,37
robert,37
sent,37
smallest,37
society,37
spoken,37
style,37
trying,37
wrong,37
become,36
chance,36
cousins,36
dashwoods,36
excellent,36
finding,36
fond,36
greatest,36
honour,36
influence,36
margaret,36
match,36
please,36
quiet,36
regret,36
scarcely,36
share,36
sit,36
suffered,36
danger,35
drew,35
eager,35
fact,35
fellow,35
generally,35
imagine,35
leaving,35
mentioned,35
pity,35
sea,35
tea,35
tears,35
thoughts,35
understood,35
age,34
constant,34
declared,34
everybody,34
favourite,34
forced,34
friendship,34
merely,34
nearly,34
painful,34
servant,34
staying,34
wait,34
wallis,34
weeks,34
ago,33
altogether,33
bed,33
breakfast,33
bring,33
concern,33
delight,33
desire,33
difference,33
enjoyment,33
event,33
fear,33
girls,33
health,33
interesting,33
letters,33
promise,33
suffering,33
trouble,33
women,33
writing,33
admiration,32
allowed,32
anybody,32
avoid,32
became,32
decided,32
eldest,32
garden,32
immediate,32
instead,32
loved,32
morrow,32
observed,32
shepherd,32
suddenly,32
work,32
agitation,31
arrived,31
assured,31
aware,31
beautiful,31
beauty,31
besides,31
especially,31
extremely,31
hare,31
hastily,31
join,31
joined,31
latter,31
looks,31
melancholy,31
moments,31
strange,31
terms,31
written,31
yesterday,31
begin,30
caught,30
delaford,30
difficulties,30
difficulty,30
except,30
expectation,30
happen,30
highly,30
hold,30
judgment,30
mistaken,30
opened,30
persuaded,30
prevent,30
required,30
seven,30
steeles,30
thus,30
weather,30
yours,30
above,29
affair,29
along,29
anxiety,29
arm,29
camden,29
close,29
conviction,29
creature,29
declare,29
distance,29
eagerly,29
earnest,29
emotion,29
exertion,29
formed,29
indifference,29
joy,29
justice,29
music,29
pleasant,29
pray,29
proof,29
resolved,29
secret,29
several,29
six,29
soul,29
spirit,29
stood,29
tenderness,29
unfortunate,29
warm,29
astonishment,28
attending,28
caterpillar,28
companion,28
dalrymple,28
disappointment,28
disposition,28
duty,28
eat,28
gratitude,28
growing,28
hurried,28
inclination,28
income,28
journey,28
led,28
liked,28
likewise,28
loss,28
pause,28
ran,28
remain,28
rich,28
try,28
warmth,28
write,28
youth,28
book,27
calling,27
capable,27
carried,27
cleveland,27
connection,27
dance,27
delightful,27
elegance,27
evil,27
fell,27
hopes,27
hundred,27
necessity,27
occurred,27
opinions,27
praise,27
recollection,27
reply,27
thank,27
twice,27
value,27
welcome,27
alarm,26
beg,26
begun,26
bringing,26
completely,26
consciousness,26
devonshire,26
direction,26
due,26
exclaimed,26
finished,26
forget,26
hair,26
hard,26
importance,26
important,26
invited,26
lately,26
listen,26
listened,26
mention,26
observation,26
particulars,26
play,26
profession,26
relief,26
smiling,26
stairs,26
story,26
thirty,26
unable,26
unhappy,26
waited,26
wishing,26
affectionate,25
afford,25
also,25
ashamed,25
attended,25
broken,25
card,25
compassion,25
death,25
dreadful,25
ease,25
estate,25
hers,25
hurry,25
indifferent,25
miles,25
parties,25
placed,25
pride,25
promised,25
purpose,25
returning,25
struck,25
