datetime,gFx,gFy,gFz,wx,wy,wz,Azimuth,Pitch,Roll,Bx,By,Bz
2022-08-11 22:50:56+00:00,-0.015327388535031848,0.04589140127388535,1.0143531847133758,-0.09931592356687897,-0.025871337579617834,-0.10031847133757962,228.51835636942675,-12.08121178343949,-0.49986910828025477,19.760185987261146,-7.079161146496816,-49.32190159235669
2022-08-11 22:51:00+00:00,0.028712398921832884,0.02343099730458221,0.9839312668463612,0.00967466307277628,0.0009784366576819409,0.011369272237196765,275.11436819407004,-12.01120539083558,1.1611970350404313,18.103022371967654,-5.599142587601078,-50.22511212938005
2022-08-11 22:51:04+00:00,-0.059603968253968256,0.05632222222222222,1.0153589947089947,-0.01688201058201058,0.0026986772486772485,0.0023978835978835985,277.1821626984127,-12.60329417989418,-3.5316462962962962,22.46693941798942,-6.7205634920634925,-48.620407407407406
2022-08-11 22:51:08+00:00,-0.0681464480874317,0.03739945355191257,0.9982934426229508,0.04055765027322405,0.02147322404371585,0.016151639344262295,274.0339868852459,-9.434372677595627,-4.196389344262295,23.336858196721312,-6.662321857923497,-48.467540983606554
2022-08-11 22:51:12+00:00,-0.03273586956521739,-0.00999483695652174,0.9925244565217392,-0.0494453804347826,-0.022407336956521737,-0.012120108695652177,274.63654320652176,-5.050353260869565,-1.7236850543478262,21.052142391304347,-4.248072554347826,-49.601164402173914
2022-08-11 22:51:16+00:00,-0.05075135135135135,-0.027076486486486487,1.0063451351351351,-0.00537,0.022683783783783787,-0.010442432432432432,269.5507697297297,-3.2393840540540544,-2.805902972972973,21.57721918918919,-4.754160810810811,-49.21786108108108
2022-08-11 22:51:20+00:00,-0.0602997311827957,-0.015941397849462365,1.0104814516129033,0.015937365591397846,-0.009150000000000002,-0.0011607526881720397,269.6318497311828,-2.684593010752688,-3.439504569892473,22.186614784946237,-4.28924005376344,-49.06131290322581
2022-08-11 22:51:24+00:00,-0.04740295698924731,0.033573118279569894,0.9998274193548387,0.005989247311827957,0.010028225806451614,0.0034422043010752727,268.02322258064515,-4.595632258064516,-2.953676612903226,21.704505913978494,-6.242414516129032,-49.04044946236559
2022-08-11 22:51:28+00:00,-0.05485411140583554,-0.007076657824933686,0.9972336870026526,-0.0021063660477453577,-0.020863129973474802,0.03886976127320955,265.51644111405835,-1.5922814323607428,-3.2586665782493367,22.01058275862069,-4.506238461538461,-49.10458488063661
2022-08-11 22:51:32+00:00,0.0006376693766937668,0.030757723577235774,0.9950788617886179,0.002692953929539291,-0.003181571815718158,-0.0006577235772357663,261.4212317073171,-3.414830623306233,-0.579710298102981,19.573135772357723,-7.1961661246612465,-49.63859430894309
2022-08-11 22:51:36+00:00,-0.05741689373297002,-0.005283651226158037,1.0002634877384196,-0.023754223433242502,0.010652861035422343,-0.006130790190735696,262.40080190735694,-0.8448367847411443,-3.5213386920980927,21.870649863760217,-4.444583378746594,-48.870289645776566
2022-08-11 22:51:40+00:00,-0.036094021739130434,-0.0009377717391304352,1.0064230978260869,0.015995652173913043,-0.009708967391304345,0.0063733695652173905,261.2281480978261,-1.2664771739130436,-2.1379510869565217,21.212228260869566,-5.380097554347826,-48.88789592391304
