timestamp,temperature,sys_load_1,cpu_percent,fan_rpm,cpu_freq
2018-05-10 00:00:34.102496,38,0.67,0.0819,693.0,1652.9855
2018-05-10 00:01:34.106931,38,0.59,0.0746,691.0,1751.2383750000001
2018-05-10 00:02:34.111049,40,0.6000000000000001,0.0564,699.0,1644.1403750000002
2018-05-10 00:03:34.115387,40,0.61,0.0925,703.0,1827.4426250000001
2018-05-10 00:04:34.119495,39,0.46,0.0794,694.0,1797.2771249999998
2018-05-10 00:05:34.123510,39,1.03,0.105,649.0,2115.837125
2018-05-10 00:06:34.127105,40,1.6800000000000002,0.0746,702.0,1674.7881249999998
2018-05-10 00:07:34.130987,38,1.16,0.032400000000000005,702.0,1616.68275
2018-05-10 00:08:34.134975,40,1.45,0.12210000000000001,713.0,1962.3165
2018-05-10 00:09:34.139116,43,0.93,0.1264,703.0,3340.4986250000006
2018-05-10 00:10:34.143925,38,0.89,0.1024,705.0,1700.142375
2018-05-10 00:11:34.148410,39,0.58,0.0965,711.0,1798.173
2018-05-10 00:12:34.152373,41,0.8,0.1378,711.0,1780.47775
2018-05-10 00:13:34.156271,41,0.63,0.083,696.0,1663.1365
2018-05-10 00:14:34.160362,42,0.78,0.092,707.0,1669.906375
2018-05-10 00:15:34.164712,39,1.03,0.0895,694.0,1839.1412500000001
2018-05-10 00:16:34.168885,41,1.13,0.10039999999999999,702.0,1878.9299999999998
2018-05-10 00:17:34.172822,42,1.11,0.1643,718.0,1781.813375
2018-05-10 00:18:34.177300,40,0.8300000000000001,0.1222,711.0,1773.7322499999998
2018-05-10 00:19:34.181473,49,1.56,0.32770000000000005,750.0,3752.729625
2018-05-10 00:20:34.188217,43,1.35,0.1754,731.0,3576.6375000000003
2018-05-10 00:21:34.192335,39,0.87,0.0291,712.0,2436.145
2018-05-10 00:22:34.196461,38,0.43,0.0315,714.0,1605.0535
2018-05-10 00:23:34.200561,38,0.47000000000000003,0.0174,711.0,1670.870625
2018-05-10 00:24:34.204558,38,0.30000000000000004,0.0151,695.0,1626.221625
2018-05-10 00:25:34.208543,39,0.22,0.0164,683.0,1621.319375
2018-05-10 00:26:34.212714,37,0.08,0.016200000000000003,690.0,1604.9213750000001
2018-05-10 00:27:34.216949,38,0.14,0.0151,683.0,1744.104625
2018-05-10 00:28:34.221004,37,0.08,0.0164,686.0,1605.071
2018-05-10 00:29:34.225251,37,0.03,0.0176,685.0,1604.7196250000002
2018-05-10 00:30:34.229442,37,0.01,0.0189,679.0,1604.9795000000001
2018-05-10 00:31:34.233660,37,0.0,0.041100000000000005,672.0,3085.0485000000003
2018-05-10 00:32:34.237856,37,0.13,0.013900000000000001,673.0,1654.9347500000001
2018-05-10 00:33:34.242192,37,0.29,0.0174,684.0,1743.12075
2018-05-10 00:34:34.246336,37,0.25,0.013900000000000001,683.0,1604.665375
2018-05-10 00:35:34.250498,37,0.17,0.0176,667.0,1625.19625
2018-05-10 00:36:34.254709,37,0.06,0.013999999999999999,678.0,1605.037875
2018-05-10 00:37:34.258869,35,0.02,0.015,684.0,1605.185625
2018-05-10 00:38:34.262992,37,0.04,0.0151,673.0,1605.0291249999998
2018-05-10 00:39:34.267132,36,0.05,0.015,671.0,1605.16525
2018-05-10 00:40:34.271277,36,0.1,0.020099999999999996,666.0,1632.11325
2018-05-10 00:41:34.275421,36,0.03,0.0164,656.0,3491.71975
2018-05-10 00:42:34.279620,36,0.01,0.0126,675.0,1604.7740000000001
2018-05-10 00:43:34.283757,37,0.15,0.013900000000000001,675.0,1607.3066250000002
2018-05-10 00:44:34.287975,37,0.14,0.0151,662.0,1609.078875
2018-05-10 00:45:34.292284,36,0.21,0.016200000000000003,663.0,1604.1308749999996
2018-05-10 00:46:34.296412,37,0.07,0.0149,660.0,1604.651125
2018-05-10 00:47:34.300533,36,0.07,0.0149,659.0,1605.114125
2018-05-10 00:48:34.304751,35,0.02,0.0215,651.0,1614.1892500000001
2018-05-10 00:49:34.309037,37,0.01,0.0164,659.0,1605.009125
2018-05-10 00:50:34.313300,35,0.07,0.018799999999999997,657.0,1641.0716250000003
2018-05-10 00:51:34.317280,40,0.02,0.020099999999999996,666.0,3850.970125
2018-05-10 00:52:34.321311,35,0.01,0.016,680.0,1604.7857499999998
2018-05-10 00:53:34.325253,35,0.0,0.0151,681.0,1605.365375
2018-05-10 00:54:34.329333,36,0.19,0.0149,666.0,1605.0462499999999
2018-05-10 00:55:34.333472,36,0.28,0.016200000000000003,656.0,1738.03675
2018-05-10 00:56:34.337500,34,0.25,0.0176,672.0,1650.7328750000001
2018-05-10 00:57:34.341658,35,0.09,0.0151,669.0,1775.3747500000002
2018-05-10 00:58:34.346008,35,0.15,0.0149,653.0,1623.4344999999998
2018-05-10 00:59:34.350217,36,0.13,0.0114,652.0,1604.8604999999998
2018-05-10 01:00:34.354573,35,0.21,0.0175,650.0,1604.972375
2018-05-10 01:01:34.358674,41,0.11,0.023799999999999998,656.0,3880.9628750000006
2018-05-10 01:02:34.362774,35,0.21,0.0164,661.0,1628.3028749999999
2018-05-10 01:03:34.367002,34,0.14,0.0126,666.0,1605.2301249999998
