datetime,Bx,By
2022-06-08 18:12:16+00:00,-19.223143609022557,6.0548552631578945
2022-06-08 18:12:20+00:00,-18.081204521276597,3.39202579787234
2022-06-08 18:12:24+00:00,-17.664084677419353,-7.067516935483871
2022-06-08 18:12:28+00:00,-11.4672208,-12.971721066666667
2022-06-08 18:12:32+00:00,-16.683908179419525,-8.141971767810027
2022-06-08 18:12:36+00:00,-7.229023577235773,-9.862260433604337
2022-06-08 18:12:40+00:00,16.90885108695652,1.041505706521739
2022-06-08 18:12:44+00:00,16.831556064690027,-1.0824474393530998
2022-06-08 18:12:48+00:00,17.30544863387978,-1.8149710382513662
2022-06-08 18:12:52+00:00,6.443139617486339,-9.016106830601093
2022-06-08 18:12:56+00:00,-7.015473204419889,-17.567377348066298
2022-06-08 18:13:00+00:00,2.444897237569061,-14.092085082872927
2022-06-08 18:13:04+00:00,18.61223867403315,-1.0671074585635358
2022-06-08 18:13:08+00:00,15.31489779614325,0.6217559228650138
2022-06-08 18:13:12+00:00,16.804686301369863,-0.9262528767123287
2022-06-08 18:13:16+00:00,18.87130569105691,-1.6916208672086723
2022-06-08 18:13:20+00:00,18.443771505376343,-4.468060752688172
2022-06-08 18:13:24+00:00,20.130984324324324,-2.0822767567567566
2022-06-08 18:13:28+00:00,19.371670460704607,-3.2193726287262874
2022-06-08 18:13:32+00:00,18.19208756756757,-0.020421081081081083
2022-06-08 18:13:36+00:00,17.937098369565216,-1.0804714673913043
2022-06-08 18:13:40+00:00,17.938304324324324,-1.435504864864865
2022-06-08 18:13:44+00:00,18.984395430107526,-1.4671475806451613
2022-06-08 18:13:48+00:00,17.5773726519337,-0.5664519337016575
2022-06-08 18:13:52+00:00,16.91307857142857,-2.817770054945055
2022-06-08 18:13:56+00:00,17.326681769436995,-2.5664608579088473
2022-06-08 18:14:00+00:00,17.964103814713898,-3.171173024523161
2022-06-08 18:14:04+00:00,19.218563387978143,-3.930857650273224
2022-06-08 18:14:08+00:00,17.622429891304346,-1.5683451086956521
2022-06-08 18:14:12+00:00,18.19115683060109,-0.49457349726775957
2022-06-08 18:14:16+00:00,20.424360162601626,-1.5705317073170733
2022-06-08 18:14:20+00:00,19.30049890410959,0.2996432876712329
2022-06-08 18:14:24+00:00,18.666284741144413,-0.7567474114441416
2022-06-08 18:14:28+00:00,18.301329838709677,-2.010189516129032
2022-06-08 18:14:32+00:00,18.35825940054496,-1.1597961852861036
2022-06-08 18:14:36+00:00,2.0643424657534246,-7.449880273972602
2022-06-08 18:14:40+00:00,-3.3959103723404254,-13.738285638297873
2022-06-08 18:14:44+00:00,-3.895911764705882,-15.254549999999998
2022-06-08 18:14:48+00:00,-2.106577134986226,-14.242488429752065
2022-06-08 18:14:52+00:00,-2.834587771739131,-15.35540570652174
2022-06-08 18:14:56+00:00,-4.529679619565218,-15.998255434782608
2022-06-08 18:15:00+00:00,-3.998215426997245,-13.884114876033056
2022-06-08 18:15:04+00:00,-3.255377348066298,-14.1461226519337
