datetime,Bx,By
2022-06-08 18:15:08+00:00,-3.5212911602209944,-15.059124033149171
2022-06-08 18:15:12+00:00,-5.710072375690607,-15.29081132596685
2022-06-08 18:15:16+00:00,-6.474413440860215,-16.274466397849462
2022-06-08 18:15:20+00:00,-7.4990013586956525,-15.10202554347826
2022-06-08 18:15:24+00:00,0.41857313829787235,-13.398197606382979
2022-06-08 18:15:28+00:00,16.92831008174387,-1.1911190735694823
2022-06-08 18:15:32+00:00,6.814375690607735,-10.109998066298342
2022-06-08 18:15:36+00:00,-2.1976522099447515,-20.43612790055249
2022-06-08 18:15:40+00:00,-8.142740607734808,-13.351296408839778
2022-06-08 18:15:44+00:00,-19.61039502762431,1.2193276243093925
2022-06-08 18:15:48+00:00,-5.433474309392265,-16.449782596685083
2022-06-08 18:15:52+00:00,-6.37714515235457,-18.52142880886427
2022-06-08 18:15:56+00:00,-5.902232320441989,-18.966579281767956
2022-06-08 18:16:00+00:00,-4.985342817679558,-18.053833701657457
2022-06-08 18:16:04+00:00,-5.982823756906078,-17.608038397790057
2022-06-08 18:16:08+00:00,-7.639655801104973,-16.334584806629834
2022-06-08 18:16:12+00:00,-6.1008185082872926,-17.800817127071824
2022-06-08 18:16:16+00:00,-6.378077989130435,-17.802532880434782
2022-06-08 18:16:20+00:00,-5.851638005390836,-16.594328032345015
2022-06-08 18:16:24+00:00,-5.565621138211382,-16.990626829268294
2022-06-08 18:16:28+00:00,-6.453328726287262,-16.517153387533874
2022-06-08 18:16:32+00:00,-7.35297679558011,-15.87345
2022-06-08 18:16:36+00:00,-20.612939669421486,-1.6702997245179063
2022-06-08 18:16:40+00:00,-22.36337930107527,6.277795430107527
2022-06-08 18:16:44+00:00,-22.55924708994709,5.942178042328043
2022-06-08 18:16:48+00:00,-22.61578181818182,6.314302673796791
2022-06-08 18:16:52+00:00,-21.786073480662985,6.538905524861878
2022-06-08 18:16:56+00:00,-21.151422099447515,6.113399447513812
2022-06-08 18:17:00+00:00,-21.11313895027624,6.095531767955801
2022-06-08 18:17:04+00:00,-20.605869086021503,4.451934408602151
2022-06-08 18:17:08+00:00,-22.097146486486487,4.778537027027027
2022-06-08 18:17:12+00:00,-21.450420478723405,6.353725
2022-06-08 18:17:16+00:00,-19.3709376344086,5.093622311827957
2022-06-08 18:17:20+00:00,-18.714793530997305,4.141749056603773
2022-06-08 18:17:24+00:00,-19.172344652406416,3.2602141711229944
2022-06-08 18:17:28+00:00,-17.614609703504044,4.082673584905661
2022-06-08 18:17:32+00:00,-18.035416577540108,5.423078877005348
2022-06-08 18:17:36+00:00,-16.911954794520547,4.645551780821918
2022-06-08 18:17:40+00:00,-19.093709615384615,6.856698901098901
2022-06-08 18:17:44+00:00,-18.9873378746594,5.751420708446867
2022-06-08 18:17:48+00:00,-16.643168,3.6090130666666664
2022-06-08 18:17:52+00:00,-17.24084677419355,5.5046077956989246
2022-06-08 18:17:56+00:00,-15.98268743315508,2.75320935828877
2022-06-08 18:18:00+00:00,-16.184576203208557,2.6385994652406417
2022-06-08 18:18:04+00:00,-7.8525093150684935,11.333796712328766
2022-06-08 18:18:08+00:00,4.6792248618784535,18.89380966850829
2022-06-08 18:18:12+00:00,4.869174254742547,18.35987371273713
2022-06-08 18:18:16+00:00,5.960644736842106,18.221322894736844
2022-06-08 18:18:20+00:00,7.2735967479674795,17.629852845528454
2022-06-08 18:18:24+00:00,5.564878453038674,18.46815
2022-06-08 18:18:28+00:00,7.178584573002754,18.182258402203857
2022-06-08 18:18:32+00:00,5.018757734806631,19.6920773480663
2022-06-08 18:18:36+00:00,4.70420773480663,19.010553867403313
2022-06-08 18:18:40+00:00,5.532200276243094,16.545180662983427
2022-06-08 18:18:44+00:00,9.290029281767955,20.4251953038674
2022-06-08 18:18:48+00:00,2.6430455801104973,16.698858011049726
2022-06-08 18:18:52+00:00,-0.3597695290858725,17.65498947368421
2022-06-08 18:18:56+00:00,-20.526451104972374,3.8956729281767957
2022-06-08 18:19:00+00:00,-9.363223224043715,12.124920218579236
2022-06-08 18:19:04+00:00,-1.2687411602209946,15.244082320441988
2022-06-08 18:19:08+00:00,-7.60769723756906,12.325872375690608
2022-06-08 18:19:12+00:00,-19.86000322580645,3.892819892473118
2022-06-08 18:19:16+00:00,-18.94261975308642,2.4254765432098764
